rank_test_score,mean_test_score,mean_train_score,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion
1,0.8458135115568396,0.8512120804193121,110,0.005,0.005,sqrt,35,gini
2,0.8453188019801247,0.8511269127675117,160,0.005,0.005,sqrt,15,entropy
3,0.8419564391845578,0.8464888211856287,210,0.015,0.005,log2,15,entropy
4,0.8418980310402774,0.8481399164554254,10,0.005,0.005,log2,,entropy
5,0.8412678653585131,0.8454658427228591,210,0.015,0.005,log2,,gini
6,0.8412504261336723,0.8465316742098041,10,0.005,0.005,log2,35,entropy
7,0.8399628372530757,0.8449453978279419,210,0.015,0.005,log2,15,gini
8,0.837440408905108,0.8425444574630648,10,0.015,0.005,log2,15,gini
9,0.8339659083939136,0.8373495091648039,210,0.025,0.005,log2,,entropy
10,0.8338293109034106,0.8370651169242936,160,0.025,0.005,sqrt,35,entropy
11,0.8325331307898663,0.8355351550044293,110,0.025,0.005,log2,35,gini
12,0.8324753326699517,0.8351825793324384,160,0.025,0.005,log2,25,gini
13,0.8321928792354155,0.8361787179791899,160,0.025,0.005,sqrt,25,gini
14,0.83186849208248,0.8357938545862175,110,0.025,0.005,log2,15,gini
15,0.8299954569678444,0.8351398044649586,10,0.025,0.005,sqrt,25,entropy
16,0.8266887698734205,0.8286578742933607,160,0.035,0.005,sqrt,25,entropy
17,0.8265388566396042,0.8287989246627429,160,0.035,0.005,log2,35,entropy
18,0.8264320257280321,0.8290359341683736,160,0.005,0.005,sqrt,5,gini
19,0.8248195102254431,0.8272681611561906,60,0.005,0.005,sqrt,5,entropy
20,0.8247231982722759,0.8278657430093443,10,0.035,0.005,sqrt,15,gini
21,0.8233472440688194,0.8235113069691478,10,0.015,0.005,sqrt,5,gini
22,0.8220985340093937,0.8239011918446376,110,0.025,0.015,log2,,entropy
23,0.8220497244810087,0.8251831491227722,110,0.025,0.005,sqrt,5,gini
24,0.8220163067606632,0.8231790087321067,60,0.035,0.015,sqrt,25,entropy
25,0.8219319201690212,0.824185183249963,60,0.025,0.015,log2,25,entropy
26,0.8209273182551744,0.8227293804595405,10,0.035,0.005,sqrt,,entropy
27,0.8208253206614925,0.8218057061285956,160,0.035,0.015,sqrt,35,entropy
28,0.8205512968242017,0.8235124477561775,60,0.005,0.015,sqrt,,entropy
29,0.8204553607170361,0.8227429365287913,110,0.005,0.015,sqrt,35,entropy
30,0.8204190568734863,0.822028794856755,210,0.005,0.015,log2,35,gini
31,0.8201957175681024,0.822437484332568,210,0.025,0.015,log2,15,gini
32,0.8201912604737182,0.8224218020630897,110,0.035,0.015,sqrt,,gini
33,0.8201044083517441,0.8235736515833695,10,0.015,0.005,sqrt,5,entropy
34,0.8198737702524719,0.8218774892535539,110,0.035,0.015,sqrt,25,entropy
35,0.8198690600911492,0.8221000234936534,210,0.025,0.015,sqrt,25,gini
36,0.8197918527329372,0.8218335037912556,60,0.025,0.015,sqrt,,entropy
37,0.8196560554831583,0.8209139797084125,210,0.035,0.015,log2,25,entropy
38,0.8196178384612657,0.8225918425815517,160,0.015,0.015,sqrt,15,gini
39,0.8191798140617162,0.8202589080231234,110,0.035,0.015,sqrt,35,gini
40,0.819062900216173,0.8202200502958533,110,0.035,0.015,sqrt,15,gini
41,0.8189111281506171,0.8216755104356962,60,0.005,0.015,sqrt,15,entropy
42,0.8173626031654792,0.8188537164296937,160,0.025,0.015,log2,5,gini
43,0.8166645365315729,0.818214554557095,210,0.005,0.015,log2,5,gini
44,0.8164764300215728,0.8185410583353421,160,0.005,0.015,sqrt,5,gini
45,0.8156413192880935,0.8181183093484105,210,0.035,0.015,log2,5,gini
46,0.8143387933293487,0.8150572972088771,110,0.035,0.025,log2,35,entropy
47,0.813752940545803,0.8153381434697904,210,0.025,0.025,sqrt,25,entropy
48,0.8137443402420345,0.8150795509824732,110,0.025,0.025,log2,35,entropy
49,0.8137022958933713,0.8161981829305676,160,0.005,0.025,log2,35,entropy
50,0.8136956791154945,0.8152908052627109,110,0.015,0.025,sqrt,25,entropy
51,0.813466695663613,0.8140356727549821,110,0.025,0.025,log2,5,entropy
52,0.8132822414780024,0.8152682632271421,210,0.005,0.025,sqrt,,entropy
53,0.8132665933644697,0.8143265857311343,210,0.005,0.025,log2,,gini
54,0.813187555015474,0.8151474944394175,210,0.025,0.025,log2,25,entropy
55,0.813150030561479,0.8150443582609509,210,0.035,0.025,sqrt,15,entropy
56,0.8131184451754682,0.8147167902186688,110,0.015,0.025,sqrt,25,gini
57,0.8131098075464216,0.8148042878866816,110,0.015,0.025,sqrt,15,entropy
58,0.8129892760777614,0.8144512869137364,10,0.035,0.015,sqrt,5,entropy
59,0.8129323928291935,0.8141324007008034,210,0.015,0.025,sqrt,15,gini
60,0.8128845805325704,0.8151405147440135,210,0.015,0.025,sqrt,15,entropy
61,0.8126887401163665,0.8145354619613103,160,0.005,0.025,sqrt,5,entropy
62,0.8126638199245694,0.8136242853067147,160,0.025,0.025,log2,,gini
63,0.8126226113623155,0.8152407030893757,160,0.025,0.025,log2,35,entropy
64,0.8125658309592133,0.8145185118277555,210,0.025,0.025,log2,,gini
65,0.8125609053296775,0.813685656829198,110,0.015,0.025,log2,15,gini
66,0.8125294489007913,0.8141955075892234,210,0.035,0.025,log2,,gini
67,0.8123371513565573,0.8145676036406009,210,0.015,0.025,log2,25,gini
68,0.8122716385171036,0.8152545804067476,210,0.005,0.025,log2,35,gini
69,0.812257270230471,0.8133942178245744,110,0.015,0.025,log2,5,entropy
70,0.8121969958026476,0.8144741649294124,160,0.025,0.025,sqrt,,gini
71,0.8120707217107185,0.814295183853199,60,0.035,0.025,sqrt,25,gini
72,0.8118896624241255,0.8136230959300114,110,0.025,0.025,sqrt,15,gini
73,0.8115470281409305,0.8132716104782199,60,0.015,0.025,sqrt,25,gini
74,0.8112977745823153,0.8126295121050768,60,0.015,0.025,sqrt,5,entropy
75,0.8112783842521051,0.8127083562234972,60,0.015,0.025,log2,5,gini
76,0.8110416007874752,0.8129691213348446,10,0.025,0.025,log2,25,entropy
77,0.8107061344286303,0.8123376653132436,160,0.035,0.025,sqrt,5,gini
78,0.8100873749110571,0.8107055565561793,110,0.035,0.035,sqrt,35,entropy
79,0.8099239434486654,0.8108637650689406,210,0.025,0.035,log2,15,entropy
80,0.8098797063993692,0.8101572527448928,160,0.025,0.035,log2,15,entropy
81,0.8098771018812686,0.8124913109806831,10,0.015,0.025,log2,,entropy
82,0.8098349822751705,0.81071668114817,160,0.035,0.035,log2,35,entropy
83,0.8096067546152333,0.8100449778635058,160,0.035,0.035,log2,5,entropy
84,0.8094916864055882,0.8106956493581438,60,0.015,0.035,log2,25,entropy
85,0.8093767744076666,0.8112126811252082,110,0.025,0.035,log2,,entropy
86,0.8092366348547021,0.8101468854160488,160,0.005,0.035,log2,35,entropy
87,0.808824628949715,0.8097720026675207,60,0.025,0.035,log2,15,entropy
88,0.8086848398478154,0.810040957852268,110,0.035,0.035,sqrt,15,entropy
89,0.8086008339644399,0.8090479560664404,60,0.025,0.035,log2,,entropy
90,0.8083129940247803,0.8091290173405737,60,0.035,0.035,sqrt,,gini
91,0.8082282453324122,0.8092440230593212,210,0.005,0.035,log2,,gini
92,0.8081642122683338,0.8102126361935466,10,0.035,0.025,sqrt,,gini
93,0.8076416304028937,0.8088397110796852,160,0.035,0.035,sqrt,25,entropy
94,0.8076081311916261,0.8080908669780413,160,0.025,0.035,log2,5,gini
95,0.8075999785676037,0.809308700112561,210,0.015,0.035,sqrt,5,gini
96,0.807470438416352,0.8081579965151664,110,0.035,0.035,log2,,gini
97,0.8071532667668402,0.8081151145138267,210,0.005,0.035,log2,5,gini
98,0.8071399006496106,0.8082946357618744,160,0.035,0.035,log2,5,gini
99,0.8054196058683464,0.806969403650268,210,0.015,0.035,log2,5,gini
100,0.8052631999161713,0.8067910779580529,60,0.005,0.035,sqrt,15,gini
